arrondissement,genre,espece,hauteur,geo_point_2d
7,Tilia,sp.,13,"48.857229897265256, 2.293790142593931"
17,Acer,platanoides,13,"48.89814597800205, 2.315224355467925"
18,Celtis,australis,7,"48.90045103145206, 2.3312938133794"
16,Tilia,cordata,10,"48.85474159715148, 2.284001171228134"
15,Aesculus,hippocastanum,10,"48.84341451165685, 2.3125517219909324"
13,Acer,platanoides,8,"48.830712093023806, 2.361366290089184"
13,Tilia,tomentosa,5,"48.82049162460931, 2.372146203457789"
18,Populus,x canadensis,17,"48.88749720595165, 2.3589705937030168"
16,Acer,buergerianum,5,"48.85598803420156, 2.2729710972630373"
19,Platanus,x hispanica,12,"48.89864563187069, 2.373810219625822"
15,Pinus,nigra,16,"48.83268962761465, 2.299116611165364"
15,Pinus,nigra subsp. nigra,0,"48.843317074118474, 2.275955229167357"
20,Aria,edulis,4,"48.86065934434251, 2.40440639211394"
19,Aesculus,hippocastanum,10,"48.89440066419651, 2.3727997790330324"
18,Carpinus,betulus,9,"48.883672964787756, 2.3484899408282467"
18,Ostrya,carpinifolia,5,"48.89965146183697, 2.3445653069970898"
12,Acer,platanoides,22,"48.839703822993435, 2.4442644786256644"
13,Pyrus,calleryana,6,"48.825282420857384, 2.3696418433552235"
16,Aesculus,x carnea,7,"48.85732008114582, 2.2667882629114335"
15,Tilia,tomentosa,0,"48.84289357732052, 2.2922321720935006"
17,Aesculus,hippocastanum,11,"48.89411161194803, 2.326789303257241"
7,Aesculus,hippocastanum,13,"48.85009747069855, 2.306163583392956"
18,Platanus,x hispanica,12,"48.890673837552164, 2.360078367842612"
20,Styphnolobium,japonicum,6,"48.85813490346531, 2.4032439208016227"
12,Picea,pungens,0,"48.8213899065349, 2.4574996499646984"
17,Amelanchier,x lamarckii,2,"48.88947460321213, 2.3157304332556308"
10,Prunus,serrulata,0,"48.87891056680636, 2.3589845716964857"
14,Tilia,tomentosa,8,"48.82596744245235, 2.3287125448234316"
14,Styphnolobium,japonicum,8,"48.82584343882213, 2.3071056034196586"
15,Platanus,x hispanica,0,"48.83213215822598, 2.2995700755733486"
15,Prunus,serrula,0,"48.84074183847081, 2.2727365360869283"
20,Magnolia,grandiflora,7,"48.862788026512675, 2.395510980970831"
19,Ostrya,carpinifolia,6,"48.876231857198384, 2.3952208483116024"
16,Aesculus,hippocastanum,19,"48.862330019377694, 2.291522020298395"
16,Aesculus,x carnea,7,"48.85717520240242, 2.265747596999096"
19,Celtis,australis,12,"48.89132373974998, 2.386074360780262"
17,Styphnolobium,japonicum,9,"48.8841842659614, 2.2955242060305445"
15,Prunus,serrulata,8,"48.83732367479798, 2.3105739591111907"
19,Cedrus,deodara,2,"48.89242423035873, 2.397867263953068"
20,Platanus,x hispanica,17,"48.864972701292054, 2.410446521906406"
12,Aesculus,x carnea,10,"48.845964342290074, 2.3834965746692016"
13,Platanus,x hispanica,30,"48.84375936760642, 2.3659020011076137"
14,Platanus,x hispanica,17,"48.82590786627311, 2.3042496576054345"
19,Broussonetia,papyrifera,5,"48.87876995626508, 2.3812423508720646"
16,Betula,pendula,12,"48.84730241890628, 2.2539570424046618"
12,Prunus,sp.,7,"48.83287588992704, 2.4566754640420183"
18,Aesculus,hippocastanum,19,"48.889354457696555, 2.3375372174313584"
14,Aesculus,hippocastanum,10,"48.834398822710426, 2.3340203640953257"
19,Populus,x canadensis,12,"48.89570219037777, 2.384330734576975"
15,Pinus,nigra,10,"48.84245467554063, 2.295912033796785"
14,Tilia,cordata,14,"48.83950463810323, 2.3247843643877255"
12,Quercus,sp.,8,"48.8321268732497, 2.457808200188744"
13,Celtis,australis,8,"48.836785639563956, 2.3596175932099213"
13,Liquidambar,styraciflua,2,"48.82126658201885, 2.3762467777580096"
15,Aesculus,hippocastanum,12,"48.84104047542264, 2.3138966272029884"
13,Platanus,occidentalis,13,"48.831414083072225, 2.3435787887695376"
15,Platanus,x hispanica,15,"48.8370049881676, 2.274759684516861"
15,Juglans,nigra,10,"48.84179825493521, 2.28979109742593"
17,Platanus,x hispanica,7,"48.88795535742841, 2.31650067584333"
17,Gymnocladus,dioica,7,"48.8794060864034, 2.2989932793778953"
13,Platanus,x hispanica,8,"48.825111550317295, 2.3794459026818475"
16,Paulownia,tomentosa,5,"48.861538295755615, 2.2907129292393695"
16,Platanus,x hispanica,7,"48.84868503874433, 2.2658329923888822"
8,Platanus,x hispanica,20,"48.8690801212371, 2.2987229314034505"
14,Styphnolobium,japonicum,6,"48.83471203407426, 2.331472346698892"
5,Magnolia,grandiflora,11,"48.8478847052204, 2.3497735176672965"
20,Styphnolobium,japonicum,8,"48.85269213008608, 2.412719775129152"
15,Styphnolobium,japonicum,10,"48.84656123875365, 2.287344050125818"
4,Populus,x canadensis,20,"48.85399131811347, 2.3457678798640313"
8,Aesculus,hippocastanum,10,"48.86629748674644, 2.319854275926291"
18,Gleditsia,triacanthos f. Inermis,12,"48.89048843261973, 2.355084928431009"
15,Malus,domestica,7,"48.853981940709325, 2.2909751748778597"
19,Tilia,x euchlora,5,"48.885312300561125, 2.374307934039843"
20,Acer,campestre,4,"48.86153592151829, 2.4115009825012796"
3,Quercus,ilex,10,"48.865615579008484, 2.355112624779264"
16,Gleditsia,triacanthos f. Inermis,10,"48.84826615387411, 2.2543578050167343"
7,Juglans,nigra,8,"48.85109255892596, 2.3077351484422715"
8,Platanus,x hispanica,16,"48.878114243436514, 2.3056417520517845"
12,Cercis,siliquastrum,2,"48.82332943915459, 2.458703463898112"
19,Magnolia,grandiflora,4,"48.88150519244128, 2.380475029037296"
13,Aesculus,hippocastanum,5,"48.82314327744774, 2.365913483184773"
12,Platanus,x hispanica,15,"48.85236479099389, 2.3692145809143774"
12,Styphnolobium,japonicum,6,"48.827496996415725, 2.4478004302921823"
16,Aesculus,hippocastanum,12,"48.86369823277596, 2.2894427823601253"
17,Platanus,x hispanica,11,"48.89593133302183, 2.3094869407054754"
18,Platanus,x hispanica,7,"48.892926899263216, 2.348743532512418"
12,Styphnolobium,japonicum,5,"48.83298061011951, 2.3984317721772705"
13,Tilia,tomentosa,10,"48.82884151908766, 2.365169676579787"
13,Styphnolobium,japonicum,5,"48.824795835935944, 2.3687600706412053"
12,Corylus,avellana,4,"48.8398598707276, 2.443078163048383"
19,Acer,platanoides,8,"48.89106082598149, 2.3741466499616597"
19,Quercus,robur,8,"48.88121721925428, 2.400321961799753"
17,Zelkova,serrata,6,"48.89141210130758, 2.315205998508836"
14,Carpinus,betulus,10,"48.835520129408685, 2.3302145804993066"
11,Carpinus,betulus,10,"48.86235907189382, 2.3829976898591645"
19,Platanus,x hispanica,25,"48.88514549177873, 2.3984612649881734"
15,Betula,pendula,0,"48.83703208498232, 2.2818222187631023"
20,Tilia,tomentosa,12,"48.86743742399746, 2.400772351585389"
11,Platanus,x hispanica,15,"48.85101295579318, 2.3913370551464816"
19,Liriodendron,tulipifera,13,"48.884266966249875, 2.389043004735969"
7,Fraxinus,excelsior,6,"48.86313666348483, 2.305463191749747"
16,Tilia,tomentosa,14,"48.83800593826704, 2.253922284870376"
13,Styphnolobium,japonicum,5,"48.82676062698334, 2.364150084370525"
2,Trachycarpus,fortunei,9,"48.86724911926671, 2.338606999379675"
14,Aesculus,x carnea,7,"48.83266523462162, 2.3235310243072904"
11,Platanus,x hispanica,15,"48.856030463610345, 2.383265399200311"
12,Platanus,x hispanica,15,"48.83485735255656, 2.433770613578777"
13,Platanus,x hispanica,12,"48.82376885535191, 2.375479699167666"
12,Pinus,nigra,0,"48.83752571442135, 2.445021103092213"
18,Acer,pseudoplatanus,8,"48.88737411396435, 2.3590239364552765"
18,Acer,campestre,7,"48.892919020692844, 2.3411226704118326"
12,Malus,domestica,5,"48.84906838726912, 2.3764830733421687"
20,Tilia,tomentosa,8,"48.86763119001736, 2.4009414226561754"
12,Aesculus,sp.,19,"48.840540417418175, 2.454364142406502"
18,Ailanthus,altissima,10,"48.884161287874846, 2.3545417805648623"
3,Carpinus,betulus,10,"48.86617695797274, 2.3636046098286396"
20,Ostrya,carpinifolia,9,"48.85070399841845, 2.4160435035144507"
8,Fraxinus,americana,6,"48.877660293239444, 2.2989449120948495"
14,Platanus,x hispanica,15,"48.8230906798973, 2.323020113275913"
20,Platanus,x hispanica,18,"48.86100343896664, 2.399332233054184"
18,Acer,campestre,4,"48.90126986209502, 2.3478518546423834"
16,Tilia,x europaea,9,"48.87221323893031, 2.2911481498948847"
12,Tilia,tomentosa,12,"48.82096434460369, 2.460013085916545"
14,Koelreuteria,paniculata,5,"48.820666392142044, 2.3387465513243484"
16,Platanus,x hispanica,10,"48.86361192777466, 2.287114527520742"
9,Aesculus,x carnea,9,"48.88176050172524, 2.344889829122064"
16,Pinus,nigra,8,"48.857548877611436, 2.267202662278545"
15,Pinus,nigra,16,"48.83271013261431, 2.298761120143793"
16,Acer,pseudoplatanus,10,"48.855326482373385, 2.2640157799411167"
7,Paulownia,tomentosa,8,"48.85943996598507, 2.2942928909675073"
8,Aesculus,hippocastanum,20,"48.86777174357967, 2.3185093828649257"
16,Platanus,x hispanica,13,"48.874744423183415, 2.2911954106694816"
13,Ostrya,carpinifolia,5,"48.82005297651077, 2.36565317833631"
16,Taxus,baccata,9,"48.86062556473075, 2.289095786425649"
17,Crataegus,laevigata,3,"48.89406442199367, 2.325820283967632"
14,Tilia,cordata,15,"48.839508790222425, 2.3285480093032422"
16,Tilia,tomentosa,16,"48.853483318801096, 2.268629298359269"
8,Aesculus,x carnea,4,"48.86829936988667, 2.311120101947236"
12,Platanus,x hispanica,15,"48.84805118396837, 2.3717044747419873"
8,Magnolia,x loebneri,4,"48.879005165597555, 2.3085541354134964"
12,Platanus,x hispanica,20,"48.84327470404432, 2.4385607691441957"
19,Acer,pseudoplatanus,13,"48.880511330754985, 2.382605183288429"
15,Aesculus,sp.,15,"48.842369771826, 2.2979989810490324"
13,Quercus,coccifera,3,"48.8187989997052, 2.3481983774853865"
14,Styphnolobium,japonicum,12,"48.83956031867353, 2.3265739229181897"
3,Zelkova,serrata,5,"48.85790821698515, 2.3678570162490478"
20,Tilia,tomentosa,6,"48.867931931388334, 2.4010066799942904"
12,Robinia,pseudoacacia,0,"48.83663036453365, 2.4480376022051797"
2,Broussonetia,papyrifera,2,"48.86715087390881, 2.3386854234833816"
19,Ilex,aquifolium,3,"48.87988636974149, 2.3820297853176133"
18,Tilia,sp.,8,"48.89402756672935, 2.3322092662785106"
18,Prunus,domestica,3,"48.88775817867347, 2.367063424988323"
14,Tilia,x euchlora,15,"48.84033171173345, 2.325361914656609"
16,Tilia,x europaea,8,"48.87090324360944, 2.288056681577959"
13,Gleditsia,triacanthos,5,"48.828560763675256, 2.3732087280462073"
20,Prunus,padus,8,"48.855376323114555, 2.411018872990361"
13,Fraxinus,excelsior,6,"48.836489939865984, 2.3522959333555638"
12,Quercus,robur,18,"48.833423963993305, 2.451450983588838"
13,Aesculus,hippocastanum,6,"48.82361461036059, 2.3649693030806307"
6,Platanus,x hispanica,6,"48.842908682124104, 2.329282016372273"
7,Acer,pseudoplatanus,13,"48.853770732123124, 2.299814817778218"
16,Fraxinus,excelsior,15,"48.85057039041832, 2.252621338062676"
20,Platanus,x hispanica,10,"48.86225489997406, 2.4088754095436418"
8,Aesculus,hippocastanum,9,"48.86720849591313, 2.319861629846975"
12,Platanus,x hispanica,10,"48.84208326841106, 2.3725630194903515"
10,Styphnolobium,japonicum,14,"48.8697387396833, 2.361751519364208"
9,Pterocarya,fraxinifolia,13,"48.871786572783755, 2.338361746206734"
15,Aesculus,x carnea,8,"48.84322277642679, 2.3125208295183945"
8,Platanus,x hispanica,11,"48.87523108711598, 2.3114096124314853"
16,Pterocarya,fraxinifolia,7,"48.872914014159356, 2.288576365716504"
16,Fraxinus,excelsior,10,"48.85068739827521, 2.2515959633379663"
19,Magnolia,grandiflora,4,"48.881273032631825, 2.3790989075453592"
13,Acer,monspessulanum,5,"48.82987627997725, 2.3695404405009146"
17,Aesculus,x carnea,13,"48.87805336612634, 2.2881232172158374"
19,Celtis,australis,10,"48.89328861495252, 2.380135518887087"
15,Ginkgo,biloba,5,"48.84064897153869, 2.279216480115939"
20,Ilex,aquifolium,4,"48.85877572136795, 2.3933796407799717"
15,Tilia,tomentosa,12,"48.83538548550405, 2.303052370037416"
17,Tilia,mongolica,5,"48.883495137604086, 2.313470628936574"
8,Celtis,australis,8,"48.868077724548094, 2.315009715158005"
9,Gleditsia,triacanthos,7,"48.88167541697719, 2.344435073623346"
12,Platanus,x hispanica,18,"48.832644026509065, 2.433320654331356"
16,Koelreuteria,paniculata,5,"48.83793915195786, 2.2593898943446074"
17,Styphnolobium,japonicum,17,"48.882312540719845, 2.2925842944660975"
7,Platanus,x hispanica,5,"48.85388873557612, 2.300792590361366"
16,Phellodendron,amurense,5,"48.8726227510676, 2.2819462892487525"
20,Betula,sp.,9,"48.8611292478978, 2.391177023066837"
14,Cercis,siliquastrum,7,"48.838397606422426, 2.325142226283003"
20,Platanus,x hispanica,18,"48.86085076717457, 2.3994529808461005"
15,Styphnolobium,japonicum,8,"48.84613690542916, 2.2789245821647093"
12,Prunus,lusitanica,5,"48.843138208917324, 2.387021839840101"
6,Aesculus,hippocastanum,10,"48.84150780644608, 2.337013604004241"
7,Platanus,x hispanica,5,"48.85999811116076, 2.3028140465615503"
13,Koelreuteria,paniculata,6,"48.83068071811383, 2.3752260656606405"
12,Parrotia,persica,5,"48.83842525798898, 2.39919278357749"
15,Clerodendrum,trichotomum,3,"48.83016421264, 2.273871611227023"
11,Zelkova,serrata,5,"48.856353980294145, 2.368498278713924"
19,Styphnolobium,japonicum,20,"48.885449231449314, 2.3980295457454597"
7,Platanus,x hispanica,12,"48.854130953568564, 2.3076141208859817"
12,Platanus,x hispanica,15,"48.84343560595582, 2.3835393434620937"
12,Tilia,platyphyllos,12,"48.829745022580084, 2.4395441301463707"
12,Tilia,x europaea,0,"48.83754697050069, 2.4468166045134665"
16,Acer,pseudoplatanus,7,"48.85283752677189, 2.2706827327430363"
14,Robinia,pseudoacacia,13,"48.821819366573216, 2.3353991999993164"
17,Aesculus,hippocastanum,10,"48.893913598115354, 2.326172256298331"
20,Taxus,baccata,10,"48.860137602597696, 2.3953719823166457"
15,Quercus,rubra,12,"48.85238798571539, 2.2954738945230426"
18,Pinus,strobus,3,"48.89638706850884, 2.363373115508738"
14,Carpinus,betulus,5,"48.83737910956088, 2.3183734951579518"
9,Platanus,x hispanica,16,"48.8830815327114, 2.3347204214209287"
1,Quercus,rubra,6,"48.86430205434318, 2.3424248881588072"
12,Laburnum,anagyroides,4,"48.839024599736035, 2.406103328129077"
13,Malus,floribunda,7,"48.83582561646257, 2.374153354070238"
18,Styphnolobium,japonicum,7,"48.8883478355624, 2.333954066181215"
12,Malus,sp.,5,"48.84540434008671, 2.3881485392006865"
19,Acer,cappadocicum,5,"48.880906423837466, 2.3776512440031654"
20,Populus,nigra,16,"48.86801478256979, 2.41157295539695"
20,Styphnolobium,japonicum,4,"48.86946512942352, 2.380257679917223"
13,Taxus,baccata,10,"48.832245964607374, 2.3490285035277707"
17,Cercis,siliquastrum,6,"48.889795186091234, 2.307968582138709"
20,Aesculus,hippocastanum,20,"48.8632408002543, 2.390888569102466"
1,Populus,sp.,16,"48.857069861891425, 2.3425725024761768"
8,Platanus,x hispanica,17,"48.87222906797905, 2.32620597539651"
18,Aesculus,x carnea,11,"48.90027356152925, 2.331810972336517"
11,Styphnolobium,japonicum,15,"48.85365548593807, 2.3964787631666598"
14,Pterocarya,fraxinifolia,8,"48.84128011815286, 2.3239730914919683"
20,Pyrus,calleryana,10,"48.87079774989852, 2.3836269986585057"
20,Corylus,colurna,10,"48.86360687059977, 2.3892830976237898"
15,Cupressus,sp.,8,"48.84078369499688, 2.286072660584647"
12,Platanus,x hispanica,15,"48.83785205300822, 2.408070270827752"
11,Pyrus,calleryana,5,"48.86589039304487, 2.373954066502646"
7,Platanus,x hispanica,10,"48.85143698489076, 2.3124336390776516"
20,Styphnolobium,japonicum,15,"48.85328545691564, 2.406020839702828"
17,Aesculus,x carnea,5,"48.89839336842182, 2.3129133220303166"
13,Parrotia,persica,5,"48.82383937988931, 2.3691304640867097"
12,Pyrus,calleryana,4,"48.83997442838511, 2.386854486340496"
19,Platanus,x hispanica,12,"48.89884860746808, 2.3727571307102946"
20,Malus,trilobata,5,"48.869449933222, 2.4121434657931755"
15,Prunus,x subhirtella,0,"48.84123585932308, 2.2767785928389204"
15,Tilia,x euchlora,16,"48.84650744786479, 2.2813302179355173"
16,Aesculus,hippocastanum,12,"48.86328970395264, 2.270639705759357"
16,Tilia,x europaea,9,"48.87562948202575, 2.283912700298931"
12,Styphnolobium,sp.,10,"48.847656281315594, 2.3984277442938287"
20,Aesculus,hippocastanum,15,"48.871442927527404, 2.393050210236709"
13,Celtis,australis,5,"48.83739857249053, 2.3600725907920075"
5,Platanus,x hispanica,15,"48.851728471639106, 2.3434482851846803"
14,Robinia,pseudoacacia,11,"48.820591839055716, 2.34065903322279"
11,Acer,pseudoplatanus,15,"48.856055719670714, 2.3890888313640724"
15,Carpinus,betulus,0,"48.84251605271472, 2.273591310854257"
17,Aesculus,hippocastanum,8,"48.89719409791076, 2.313417094695795"
15,Fraxinus,americana,8,"48.83700922544672, 2.3107208745006154"
4,Platanus,x hispanica,5,"48.8509316463475, 2.3620502853957834"
18,Prunus,avium,6,"48.89675918376081, 2.3639257363438984"
16,Celtis,australis,15,"48.856677893366204, 2.283226706100254"
13,Celtis,australis,6,"48.8323605035447, 2.3564146758283155"
19,Taxus,baccata,11,"48.87965220978345, 2.383463629764763"
17,Salix,alba,9,"48.891551361728744, 2.3139014704351397"
17,Styphnolobium,japonicum,9,"48.88710842835213, 2.2898981171726693"
17,Platanus,x hispanica,10,"48.88549046083479, 2.293575316615585"
11,Platanus,x hispanica,15,"48.85604075344676, 2.391285912315481"
8,Platanus,x hispanica,11,"48.87443167359359, 2.3006892912271297"
20,Platanus,x hispanica,8,"48.85721510591175, 2.393386818492467"
4,Pyrus,communis,2,"48.851214330458426, 2.358457282738374"
16,Parrotia,persica,6,"48.855892857703495, 2.2848104425829496"
15,Parrotia,persica,5,"48.85053435724666, 2.298009907962687"
20,Cornus,mas,4,"48.86169060789825, 2.4115109574592193"
14,Celtis,australis,5,"48.822864363100685, 2.3307499500278883"
20,Broussonetia,papyrifera,5,"48.87022284784205, 2.383483462686377"
19,Morus,nigra,10,"48.879321771528225, 2.3817829787944453"
12,Prunus,maackii,3,"48.846625436292754, 2.4043174158187233"
16,Aesculus,hippocastanum,15,"48.86358266886577, 2.280326946023904"
13,Tilia,tomentosa,10,"48.828384467778434, 2.3580522992887585"
15,Ailanthus,altissima,12,"48.842582242083914, 2.3117846666220787"
17,Platanus,x hispanica,15,"48.878510671065975, 2.29961709343393"
16,Acer,platanoides,7,"48.85886233308267, 2.2654827077957673"
19,Taxus,baccata,0,"48.88095930972316, 2.385829537166935"
19,Platanus,x hispanica,0,"48.885267017362736, 2.3772889060099027"
20,Gleditsia,triacanthos,5,"48.86162367394376, 2.3926026856039724"
20,Thuja,sp.,8,"48.860956001274985, 2.398008659990105"
10,Aesculus,hippocastanum,11,"48.87525024766557, 2.371768588441955"
18,Platanus,x hispanica,16,"48.9003619966417, 2.363017202138991"
16,Platanus,x hispanica,16,"48.848102470926285, 2.260404687952091"
13,Populus,sp.,18,"48.81803121814777, 2.353269067154513"
13,Ligustrum,lucidum,5,"48.83193457477273, 2.353638756709148"
17,Aesculus,x carnea,5,"48.89910448580447, 2.3288461267670977"
13,Platanus,x hispanica,5,"48.83359491020466, 2.3781891262131936"
13,Ailanthus,altissima,16,"48.82505217325021, 2.362618509017196"
19,Magnolia,grandiflora,5,"48.88150365521157, 2.3838358709588454"
15,Malus,domestica,1,"48.850725079253415, 2.2877583920990654"
11,Platanus,x hispanica,10,"48.859206289257976, 2.385957129709181"
20,Celtis,australis,15,"48.86488442750247, 2.391121773924899"
18,Prunus,x schmittii,7,"48.89048624352362, 2.3512097469659747"
20,Prunus,padus,4,"48.86904683844284, 2.4136597581119315"
13,Fraxinus,pennsylvanica,5,"48.82261205048488, 2.3535180498262953"
16,Acer,capillipes,4,"48.8368905802923, 2.2551633923551004"
17,Platanus,x hispanica,8,"48.89408999820632, 2.3123239149173895"
12,Tilia,americana,10,"48.83928388851292, 2.3766028140180393"
6,Platanus,x hispanica,12,"48.843542525627775, 2.33862750675771"
13,Pinus,nigra,10,"48.82265656021974, 2.3647417903103354"
11,Pyrus,calleryana,5,"48.85962779632192, 2.3697125919302775"
17,Platanus,x hispanica,8,"48.89424165284595, 2.3125267129443365"
9,Platanus,x hispanica,18,"48.884103529352736, 2.3310515017174964"
14,Styphnolobium,japonicum,10,"48.84013568806153, 2.327339299938095"
15,Tilia,tomentosa,12,"48.83356644616318, 2.309401093308463"
11,Platanus,x hispanica,20,"48.853036344582975, 2.3884047313722183"
7,Platanus,x hispanica,13,"48.855163271303596, 2.3051332467817103"
13,Celtis,australis,15,"48.816939744481026, 2.347620360163598"
13,Celtis,australis,17,"48.816541698404905, 2.3462335058509485"
13,Gleditsia,triacanthos,5,"48.82662548735983, 2.3666285058988974"
15,Ostrya,carpinifolia,5,"48.84372810537715, 2.2974410298986507"
17,Aesculus,hippocastanum,8,"48.88751664669186, 2.317231139805107"
17,Paulownia,tomentosa,13,"48.88908726619856, 2.307677842887814"
8,Platanus,x hispanica,16,"48.87114471456732, 2.302526971989938"
20,Acer,pseudoplatanus,16,"48.86136995349354, 2.3932381930821136"
15,Pyrus,sp.,11,"48.83994921984349, 2.2808954892896804"
12,Quercus,sp.,9,"48.830903139953165, 2.4596594035031534"
13,Platanus,orientalis,10,"48.83409757435911, 2.3775387789815765"
13,Non spécifié,sp.,0,"48.822824916871376, 2.365007385293197"
13,Acer,x freemanii,5,"48.83232804661635, 2.3627910899213305"
19,Corylus,colurna,12,"48.87803041364077, 2.3877396840687237"
19,Styphnolobium,japonicum,5,"48.87653709941748, 2.404115425458217"
19,Taxus,baccata,0,"48.87903015122853, 2.380394117943611"
13,Prunus,serrulata,3,"48.81951755764323, 2.3475703300854334"
17,Liquidambar,styraciflua,7,"48.882472421951626, 2.282096917550396"
15,Styphnolobium,japonicum,0,"48.82854877829362, 2.2695625020722625"
14,Populus,nigra,14,"48.82944900695901, 2.3172061637276564"
12,Aesculus,hippocastanum,15,"48.83039100041709, 2.4031462193226667"
19,Platanus,x hispanica,18,"48.88444119110902, 2.3762174944807986"
12,Acer,pseudoplatanus,7,"48.829460815082, 2.4520393080272784"
14,Robinia,pseudoacacia,8,"48.8286382909125, 2.3078363275451848"
20,Cercis,siliquastrum,3,"48.873633091410035, 2.3961945876974107"
15,Celtis,australis,8,"48.84375024733384, 2.3224777645760954"
17,Albizia,julibrissin,5,"48.88361777168505, 2.2828239031695237"
20,Acer,pseudoplatanus,18,"48.85930047069808, 2.3939236880668675"
17,Platanus,x hispanica,17,"48.8896966539051, 2.3215994509157385"
9,Carpinus,betulus,9,"48.88342080470366, 2.3475108497266435"
20,Platanus,x hispanica,18,"48.86501368905715, 2.410619519419079"
8,Platanus,x hispanica,10,"48.87322528849943, 2.297263515424993"
15,Prunus,cerasifera,5,"48.843075669079695, 2.320244613777123"
19,Celtis,australis,8,"48.89243381757304, 2.394761577974342"
18,Betula,pendula,12,"48.89513378195257, 2.361729838287006"
20,Tilia,tomentosa,5,"48.869933916142294, 2.4127343671423924"
18,Liquidambar,styraciflua,9,"48.886144765760285, 2.3569535513798634"
20,Platanus,x hispanica,8,"48.872971171434536, 2.4102775300965096"
13,Aesculus,hippocastanum,8,"48.82418445401314, 2.363829270797533"
16,Malus,domestica,1,"48.854506964683, 2.2677102033577254"
16,Platanus,x hispanica,17,"48.83770021275888, 2.2531357466487942"
8,Aesculus,hippocastanum,8,"48.86427900655529, 2.307127658471249"
18,Platanus,x hispanica,8,"48.8982824912866, 2.356765590383212"
15,Sorbus,sp.,2,"48.83085495526956, 2.301298310206256"
11,Styphnolobium,japonicum,10,"48.858191862147436, 2.3715267419679575"
15,Quercus,macrocarpa,4,"48.830554162365786, 2.272699203180839"
20,Aesculus,hippocastanum,12,"48.86304427051072, 2.397509158855929"
14,Thuja,plicata,10,"48.838681917879484, 2.3269219469847755"
13,Styphnolobium,japonicum,10,"48.825819477402106, 2.3494783996292106"
12,Tilia,platyphyllos,10,"48.839190155776514, 2.4380866171626545"
11,Gleditsia,triacanthos,4,"48.860693384500465, 2.3748093064182196"
11,Tilia,tomentosa,5,"48.85707626958201, 2.3790641150327123"
16,Eucalyptus,gunnii,4,"48.83587083029999, 2.257626920310893"
10,Carpinus,betulus,11,"48.88342730535046, 2.367915459604711"
13,Prunus,serrulata,6,"48.828575321904246, 2.3810307119142133"
20,Fraxinus,excelsior,10,"48.853253094262975, 2.4139421142792354"
19,Tilia,x euchlora,6,"48.88392635546855, 2.3695733602056364"
7,Platanus,x hispanica,15,"48.85826844924045, 2.2993146768247263"
19,Ginkgo,biloba,5,"48.876180073844274, 2.3933248107866802"
16,Pinus,nigra,6,"48.86091717895443, 2.2879332007607203"
8,Aesculus,hippocastanum,15,"48.864955756434746, 2.3160492702675515"
8,Aesculus,hippocastanum,19,"48.864534415991095, 2.309233400243239"
20,Pinus,nigra,10,"48.866201097645096, 2.4092178854598516"
17,Fraxinus,angustifolia,9,"48.89146936280752, 2.3145866060360163"
15,Magnolia,grandiflora,0,"48.83975439454077, 2.2766076852358306"
19,Platanus,x hispanica,8,"48.89826458510531, 2.3704010584878445"
16,Styphnolobium,japonicum,15,"48.87407688131118, 2.27598153823683"
12,Aesculus,sp.,25,"48.83748184152428, 2.452095594207366"
16,Platanus,x hispanica,22,"48.8466118718645, 2.2712648702403735"
16,Platanus,x hispanica,13,"48.8351860228013, 2.255449896913434"
4,Styphnolobium,japonicum,5,"48.851710928662094, 2.367866776097652"
15,Aesculus,x carnea,7,"48.84121519168352, 2.3179192083013933"
12,Aesculus,hippocastanum,5,"48.83915045976026, 2.3880720839372938"
16,Robinia,hispida,5,"48.84445463299929, 2.2682064917719966"
18,Malus,domestica,1,"48.89585140747873, 2.347734079490214"
19,Platanus,x hispanica,15,"48.874167844348236, 2.383722118367479"
6,Aesculus,hippocastanum,7,"48.84182789218903, 2.3367058464322557"
4,Platanus,x hispanica,8,"48.85622708429913, 2.3504324252305286"
13,Acer,monspessulanum,5,"48.83438498959095, 2.3476639268055317"
7,Fraxinus,sp.,10,"48.84810216830333, 2.3148153278133115"
16,Aesculus,x carnea,6,"48.858161289563824, 2.270015365761494"
7,Platanus,x hispanica,12,"48.855245990009635, 2.2986720437486445"
13,Carpinus,betulus,2,"48.818109063299005, 2.352027487309564"
16,Styphnolobium,japonicum,10,"48.861829174911655, 2.2640856352242467"
8,Aesculus,x carnea,8,"48.878873824467306, 2.306968947062915"
17,Robinia,pseudoacacia,5,"48.8932597136339, 2.3082485750856083"
13,Platanus,occidentalis,20,"48.8307524777306, 2.354368873953262"
4,Platanus,x hispanica,30,"48.85062958703446, 2.3612568002150156"
18,Tilia,platyphyllos,9,"48.886049394097434, 2.355997806220058"
17,Platanus,x hispanica,15,"48.887496038254405, 2.3037463023826956"
1,Platanus,x hispanica,10,"48.85792023576409, 2.344832388147404"
18,Taxus,baccata,6,"48.88686733969066, 2.329402200082641"
14,Aesculus,x carnea,3,"48.83447919362134, 2.335862762053926"
19,Carpinus,betulus,10,"48.89483477861144, 2.3727261182692176"
13,Platanus,x hispanica,9,"48.84369343980359, 2.365814756645078"
11,Platanus,x hispanica,8,"48.86558360404401, 2.369576686183766"
10,Styphnolobium,japonicum,12,"48.869909384332765, 2.3619454051512747"
3,Ligustrum,lucidum,4,"48.865192111224836, 2.3620857638434893"
